"id","name","category","price","description"
0,"Parma Ham","Music Instruments",8151,"Atoms are used within a program to denote distinguished values."
1,"Fish and Chips!","Sports & Outdoor",16113,"I don't even care."
2,"Cobb Salad","Home & Garden",3836,"Erlang is known for its designs that are well suited for systems."
3,"Pastrami on Rye","Music Instruments",18735,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
4,"Creamed corn","Fashion",8918,"It is also a garbage-collected runtime system."
5,"Slinger","Video Games",19578,"Atoms are used within a program to denote distinguished values."
6,"Baba Ghanoush","Electronics",8215,"Erlang is known for its designs that are well suited for systems."
7,"Kobe Beef","Office Supply",16469,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
8,"Sweetbreads","Books",789,"The arguments can be primitive data types or compound data types."
9,"Chicken French","Books",5115,"Do you have any idea why this is not working?"
10,"Blue-plate special","Electronics",775,"Ports are used to communicate with the external world."
11,"Onion ring","Health & Hygine",9101,"Tuples are containers for a fixed number of Erlang data types."
12,"Fried Green Tomatoes","Home & Garden",19807,"Haskell features a type system with type inference and lazy evaluation."
13,"Pork Belly","Office Supply",14371,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
14,"Risotto","Electronics",10803,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
15,"Hokkien fried rice","Beauty & Personal",11783,"Do you have any idea why this is not working?"
16,"Sausage gravy","Music Instruments",18133,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
17,"Carne pizzaiola","Sports & Outdoor",10071,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
18,"Surf and turf","Office Supply",11233,"Do you have any idea why this is not working?"
19,"Butter cookie","Health & Hygine",5473,"Ports are created with the built-in function open_port."
20,"Reuben sandwich","Health & Hygine",13872,"Tuples are containers for a fixed number of Erlang data types."
21,"Shish Kabob","Electronics",7331,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
22,"Chicken fried steak","Video Games",11908,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
23,"Steak Tartare","Office Supply",17086,"She spent her earliest years reading classic literature, and writing poetry."
24,"Salisbury steak","Electronics",18057,"Do you have any idea why this is not working?"
25,"Pop-Tarts","Beauty & Personal",6984,"Ports are used to communicate with the external world."
26,"Gyoza","Home & Garden",17535,"Make me a sandwich."
27,"Macaroni and Cheese","Health & Hygine",13165,"She spent her earliest years reading classic literature, and writing poetry."
28,"Liver and onions","Home & Garden",19960,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
29,"Cheese Curds","Office Supply",620,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
30,"Low Country Boil","Office Supply",11408,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
31,"Osso Buco","Beauty & Personal",7982,"The arguments can be primitive data types or compound data types."
32,"Hoppin' John","Books",12807,"Ports are used to communicate with the external world."
33,"Macaroni salad","Electronics",5417,"Atoms are used within a program to denote distinguished values."
34,"Salmon pasta bake","Video Games",1583,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
35,"Chocolate Brownie","Books",12376,"Make me a sandwich."
36,"Cornish game hen","Fashion",10823,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
37,"Sweet Potato Fries","Books",16544,"Any element of a tuple can be accessed in constant time."
