"id","name","category","price","description"
0,"Calas","Video Games",13398,"The arguments can be primitive data types or compound data types."
1,"Fish Tacos","Home & Garden",11231,"Do you have any idea why this is not working?"
2,"Celery Victor","Sports & Outdoor",621,"Type classes first appeared in the Haskell programming language."
3,"French Dip","Home & Garden",18097,"Any element of a tuple can be accessed in constant time."
4,"Toaster Strudel","Electronics",16602,"Erlang is a general-purpose, concurrent, functional programming language."
5,"Satay","Electronics",4176,"Do you come here often?"
6,"Slinger","Sports & Outdoor",14821,"Its main implementation is the Glasgow Haskell Compiler."
7,"Creamed corn","Books",5076,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
8,"Chili dog","Music Instruments",6458,"Erlang is a general-purpose, concurrent, functional programming language."
9,"Rolled oyster","Electronics",9376,"He looked inquisitively at his keyboard and wrote another sentence."
10,"Potato Wedges","Music Instruments",14736,"He looked inquisitively at his keyboard and wrote another sentence."
11,"Gumbo","Office Supply",17582,"Do you come here often?"
12,"Steamed clams","Music Instruments",8075,"Where are my pants?"
13,"Jell-O","Music Instruments",19665,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
14,"Soft Shell Crab","Video Games",1563,"Haskell features a type system with type inference and lazy evaluation."
15,"Pepperoni","Health & Hygine",6098,"In 1989 the building was heavily damaged by fire, but it has since been restored."
16,"Potato skins","Video Games",7790,"Ports are used to communicate with the external world."
17,"Potato skins","Fashion",15492,"Do you come here often?"
18,"Chili con carne","Electronics",14402,"In 1989 the building was heavily damaged by fire, but it has since been restored."
19,"Matzo Ball Soup","Fashion",998,"Haskell features a type system with type inference and lazy evaluation."
20,"Meatcake","Home & Garden",9856,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
21,"Massaman Curry","Electronics",1546,"Erlang is known for its designs that are well suited for systems."
22,"Biscuit","Sports & Outdoor",15233,"Do you have any idea why this is not working?"
23,"Baklava","Fashion",4390,"Do you have any idea why this is not working?"
24,"Glorified rice","Music Instruments",1710,"I don't even care."
