"id","name","city","state","tax_rate"
0,"rental","Ottumwa","Kentucky",0.051458277
1,"cf","Richmond","Oklahoma",0.09807505
2,"starring","Santa Ana","Wisconsin",0.094632864
3,"winds","St. Peters","Tennessee",0.098277286
4,"script","Redwood City","Rhode Island",0.13189454
5,"belt","Brawley","Utah",0.08443291
6,"jr","Millbrook","Kentucky",0.07457868
7,"trying","Lynchburg","Vermont",0.14468966
8,"if","Clovis","New Jersey",0.11215495
9,"encourage","Shelbyville","Florida",0.08709936
10,"engineer","Alsip","Florida",0.13970685
11,"egypt","New Hope","Virginia",0.10916363
12,"reality","Utica","New Mexico",0.057987396
13,"locate","Elizabeth City","Oklahoma",0.12082206
14,"involve","New Iberia","Colorado",0.06585322
15,"refers","Louisville","Ohio",0.11530491
16,"dd","Yorba Linda","Massachusetts",0.060640793
17,"popularity","Bristol","Pennsylvania",0.08701618
18,"fluid","North Ridgeville","Nebraska",0.08143419
19,"desire","Brandon","Minnesota",0.08372364
20,"rich","Milwaukie","Pennsylvania",0.10519398
21,"reads","Park Ridge","Maine",0.07787048
22,"build","Novi","South Carolina",0.1204997
23,"adventure","Tracy","Michigan",0.09683836
24,"yet","Klamath Falls","Georgia",0.07773956
25,"he","Peekskill","Maine",0.107423306
26,"constitutional","Banning","Nebraska",0.05343559
27,"budget","Savannah","Maryland",0.07081167
28,"virgin","Orland Park","New Hampshire",0.08989643
29,"angel","Statesboro","Missouri",0.0672009
30,"bush","San Fernando","Connecticut",0.05607265
31,"platforms","Norwalk","Missouri",0.054880403
32,"radiation","La Verne","Minnesota",0.103276476
33,"hit","Shoreline","Missouri",0.11543909
34,"techniques","Ogden","Virginia",0.13399766
35,"surrounding","Alamo","Louisiana",0.08545587
36,"further","Surprise","Oklahoma",0.108186245
37,"usc","Parma Heights","Texas",0.07380014
38,"diamond","Coronado","Missouri",0.05608851
39,"articles","Missouri City","New Hampshire",0.053237814
40,"km","Charleston","Alabama",0.050925203
41,"coat","Eagan","Minnesota",0.13371481
42,"dream","Attleboro","Montana",0.14537217
43,"panel","Farmington","Texas",0.10632432
44,"definition","Hemet","Minnesota",0.068001896
45,"archived","Rockwall","Montana",0.117679745
46,"verify","Mesquite","Connecticut",0.14186983
47,"memorial","Glendale","Idaho",0.07428295
48,"bread","Lancaster","Alabama",0.103058614
49,"resort","Cypress","Oregon",0.10325489
50,"womens","Flint","Tennessee",0.14009497
51,"rank","Urbandale","Tennessee",0.061212532
52,"leaving","Norman","Indiana",0.105895996
53,"rw","Parma","California",0.1038878
54,"guestbook","Romulus","Nebraska",0.14343129
55,"silver","Poway","New York",0.12728055
56,"cemetery","Rockville Centre","Idaho",0.101725094
57,"latest","Fuquay-Varina","Oregon",0.1291604
58,"qty","Clarksburg","Ohio",0.08457159
59,"thoughts","Crestview","Maine",0.09344739
60,"mid","Patterson","Hawaii",0.07034498
61,"oregon","Norwalk","Wyoming",0.11077261
62,"connect","Miami Gardens","South Carolina",0.11184753
63,"retirement","New Albany","Texas",0.07282163
64,"investing","Casper","Idaho",0.11159906
65,"prospective","Morgan Hill","Idaho",0.07424171
66,"charter","New Bedford","Arizona",0.05572876
67,"donate","Walnut","Alabama",0.065960996
68,"emotional","Davenport","North Carolina",0.078335024
69,"duties","Fort Wayne","Indiana",0.1251644
70,"scene","Springfield","Alabama",0.06949996
71,"dave","Palo Alto","Arizona",0.12254269
72,"structure","Columbus","Maryland",0.13271667
73,"uses","Fairbanks","Virginia",0.11368558
74,"sport","West Memphis","Connecticut",0.06621482
75,"simon","New Hope","Texas",0.06141707
76,"democratic","Waynesboro","Nebraska",0.10506755
77,"send","North Royalton","Louisiana",0.1389645
78,"marriott","Tualatin","North Carolina",0.074969195
79,"groups","South Gate","Washington",0.11978526
80,"dad","Tulsa","South Dakota",0.12221853
81,"blind","Milledgeville","Montana",0.14558615
82,"permalink","Lindenwold","Nebraska",0.08241211
83,"fall","Allen","Florida",0.14223765
84,"betting","Lake Zurich","North Carolina",0.058913935
85,"archive","Tooele","Rhode Island",0.11516533
86,"dna","Shakopee","Alaska",0.07037649
87,"kits","Madisonville","Wisconsin",0.115009226
88,"calculate","Raleigh","Alabama",0.14776596
89,"graph","York","South Carolina",0.052119568
90,"northeast","Leavenworth","Missouri",0.10570178
